id,count
0,108.0
1,185.0
2,49.0
4,18.0
5,49.0
10,115.0
11,102.0
12,139.0
15,108.0
17,49.0
18,271.0
23,271.0
25,189.0
26,20.0
31,221.0
39,189.0
40,30.0
41,36.0
42,319.0
43,106.0
51,300.0
52,108.0
54,9.0
60,138.0
61,118.0
62,99.0
63,15.0
65,115.0
66,121.0
68,118.0
71,30.0
80,30.0
82,53.0
94,138.0
98,241.0
101,109.0
102,118.0
107,46.0
112,164.0
113,37.0
115,6.0
116,95.0
120,115.0
121,52.0
122,246.0
132,221.0
143,37.0
147,30.0
150,3.0
151,106.0
152,319.0
153,94.0
155,104.0
156,1.0
159,118.0
161,115.0
163,44.0
177,180.0
186,3.0
188,16.0
190,108.0
191,99.0
192,190.0
195,176.0
200,221.0
209,331.0
210,9.0
211,185.0
214,102.0
215,30.0
218,95.0
219,38.0
222,115.0
225,3.0
228,317.0
236,133.0
241,117.0
242,207.0
243,317.0
245,17.0
247,196.0
251,110.0
252,103.0
253,46.0
254,99.0
258,278.0
260,29.0
261,118.0
265,94.0
266,221.0
267,319.0
269,114.0
270,63.0
275,95.0
278,39.0
279,29.0
286,117.0
287,35.0
288,176.0
289,182.0
293,35.0
294,305.0
297,6.0
302,115.0
303,108.0
304,93.0
307,63.0
309,13.0
311,180.0
312,36.0
314,263.0
315,317.0
319,196.0
322,129.0
323,84.0
325,104.0
327,221.0
330,44.0
332,21.0
333,35.0
338,114.0
341,66.0
345,46.0
348,102.0
349,40.0
350,129.0
352,30.0
355,8.0
356,229.0
358,6.0
363,118.0
369,229.0
371,28.0
372,180.0
375,123.0
380,121.0
388,40.0
391,180.0
392,5.0
393,246.0
394,212.0
396,13.0
401,108.0
407,94.0
409,63.0
410,121.0
416,75.0
418,127.0
420,121.0
421,113.0
422,110.0
424,278.0
428,176.0
429,176.0
431,102.0
435,23.0
439,115.0
441,18.0
447,30.0
449,118.0
451,138.0
452,13.0
454,305.0
458,176.0
463,118.0
467,18.0
470,27.0
471,114.0
474,172.0
478,18.0
483,124.0
484,189.0
485,98.0
486,141.0
491,115.0
494,85.0
495,296.0
497,137.0
499,164.0
515,110.0
518,139.0
521,115.0
525,118.0
529,331.0
532,118.0
534,94.0
540,78.0
544,271.0
547,133.0
549,26.0
563,20.0
564,180.0
567,124.0
572,115.0
577,189.0
578,317.0
585,380.0
588,189.0
589,113.0
590,129.0
592,18.0
594,46.0
596,18.0
598,380.0
599,141.0
605,103.0
606,138.0
607,5.0
608,214.0
609,84.0
610,327.0
611,267.0
614,110.0
615,219.0
616,248.0
617,180.0
618,136.0
624,124.0
629,184.0
631,107.0
633,108.0
637,18.0
638,124.0
643,46.0
644,182.0
645,39.0
646,218.0
648,213.0
650,103.0
651,212.0
652,139.0
656,148.0
657,18.0
659,82.0
660,305.0
662,101.0
665,331.0
675,246.0
681,131.0
682,218.0
685,35.0
686,227.0
689,27.0
696,121.0
703,138.0
704,124.0
705,102.0
714,188.0
717,31.0
718,12.0
720,103.0
721,380.0
723,176.0
726,212.0
728,133.0
730,109.0
731,34.0
734,271.0
737,46.0
738,35.0
745,304.0
746,20.0
749,244.0
752,12.0
753,212.0
758,176.0
765,16.0
766,380.0
768,46.0
769,271.0
774,138.0
775,115.0
781,71.0
784,402.0
794,26.0
795,274.0
796,94.0
802,52.0
803,121.0
805,40.0
806,252.0
807,124.0
809,16.0
810,331.0
812,212.0
814,115.0
818,197.0
819,229.0
825,41.0
836,52.0
839,115.0
847,278.0
848,212.0
851,189.0
852,113.0
853,37.0
857,121.0
858,52.0
859,218.0
861,40.0
867,95.0
870,102.0
871,137.0
872,108.0
874,219.0
881,284.0
886,108.0
890,30.0
895,108.0
899,30.0
900,244.0
901,274.0
902,284.0
903,46.0
913,168.0
918,161.0
923,230.0
924,39.0
926,28.0
927,16.0
930,190.0
934,40.0
937,102.0
939,102.0
941,103.0
942,402.0
946,172.0
950,95.0
953,110.0
959,93.0
961,12.0
962,103.0
964,1.0
969,190.0
971,136.0
976,31.0
978,191.0
980,138.0
981,173.0
990,425.0
993,22.0
996,26.0
998,304.0
999,161.0
1006,132.0
1008,16.0
1013,103.0
1015,99.0
1016,131.0
1022,331.0
1026,219.0
1028,331.0
1031,82.0
1034,71.0
1037,219.0
1040,77.0
1042,16.0
1046,26.0
1048,99.0
1049,132.0
1050,84.0
1051,302.0
1052,150.0
1055,99.0
1060,161.0
1064,35.0
1066,127.0
1071,132.0
1073,27.0
1089,132.0
1091,111.0
1092,100.0
1093,206.0
1096,402.0
1097,182.0
1098,14.0
1099,52.0
1102,115.0
1107,31.0
1109,49.0
1111,2.0
1112,99.0
1114,222.0
1116,293.0
1117,132.0
1118,90.0
1122,100.0
1124,132.0
1127,99.0
1133,425.0
1134,44.0
1135,102.0
1139,398.0
1143,78.0
1150,105.0
1151,92.0
1153,310.0
1155,34.0
1162,14.0
1163,218.0
1166,23.0
1171,69.0
1172,20.0
1173,176.0
1174,117.0
1177,115.0
1178,92.0
1184,92.0
1185,132.0
1186,92.0
1187,126.0
1188,219.0
1191,132.0
1207,90.0
1213,40.0
1215,90.0
1223,304.0
1227,111.0
1236,39.0
1237,71.0
1238,35.0
1241,14.0
1248,14.0
1250,53.0
1251,173.0
1253,90.0
1255,90.0
1257,304.0
1261,90.0
1262,304.0
1265,104.0
1273,176.0
1277,216.0
1278,151.0
1280,149.0
1284,137.0
1285,331.0
1288,35.0
1295,153.0
1297,304.0
1299,278.0
1304,218.0
1308,45.0
1310,269.0
1311,151.0
1314,87.0
1315,90.0
1318,22.0
1320,402.0
1321,398.0
1322,305.0
1330,90.0
1333,168.0
1334,143.0
1341,243.0
1344,102.0
1351,274.0
1354,23.0
1356,30.0
1363,112.0
1365,137.0
1369,151.0
1373,90.0
1375,112.0
1377,30.0
1379,243.0
1380,172.0
1381,111.0
1384,302.0
1390,331.0
1393,168.0
1395,39.0
1399,252.0
1400,61.0
1401,107.0
1404,123.0
1408,14.0
1409,23.0
1413,218.0
1416,297.0
1418,90.0
1423,106.0
1424,13.0
1425,14.0
1433,219.0
1434,161.0
1436,331.0
1442,219.0
1444,86.0
1445,102.0
1452,190.0
1455,176.0
1462,84.0
1467,3.0
1472,45.0
1475,37.0
1493,90.0
1501,185.0
1503,297.0
1504,425.0
1505,13.0
1511,91.0
1512,30.0
1513,243.0
1514,103.0
1528,304.0
1533,246.0
1534,14.0
1536,219.0
1537,37.0
1539,46.0
1550,186.0
1552,224.0
1554,138.0
1555,402.0
1556,8.0
1559,35.0
1563,219.0
1566,226.0
1567,14.0
1568,14.0
1571,163.0
1572,14.0
1574,39.0
1577,19.0
1583,8.0
1585,35.0
1586,138.0
1587,278.0
1596,151.0
1602,3.0
1604,117.0
1605,52.0
1610,222.0
1611,111.0
1616,35.0
1617,86.0
1618,16.0
1622,33.0
1623,33.0
1628,222.0
1631,14.0
1632,91.0
1633,228.0
1634,304.0
1636,331.0
1637,97.0
1643,37.0
1644,132.0
1646,103.0
1648,171.0
1651,40.0
1656,35.0
1658,84.0
1659,19.0
1665,83.0
1666,165.0
1670,117.0
1674,216.0
1679,263.0
1680,187.0
1683,316.0
1686,46.0
1691,86.0
1693,33.0
1696,49.0
1697,132.0
1703,90.0
1706,13.0
1709,226.0
1710,74.0
1712,305.0
1713,129.0
1718,304.0
1719,161.0
1722,150.0
1723,94.0
1724,139.0
1728,82.0
1730,103.0
1732,32.0
1737,40.0
1745,39.0
1747,16.0
1748,14.0
1755,152.0
1759,30.0
1761,183.0
1764,229.0
1765,151.0
1766,94.0
1768,78.0
1770,35.0
1771,182.0
1774,88.0
1785,91.0
1788,300.0
1792,30.0
1794,185.0
1797,161.0
1798,15.0
1799,215.0
1802,119.0
1806,33.0
1808,103.0
1810,278.0
1818,165.0
1819,402.0
1820,278.0
1822,182.0
1826,331.0
1827,142.0
1835,16.0
1841,269.0
1842,75.0
1843,35.0
1846,33.0
1849,61.0
1850,225.0
1851,112.0
1857,39.0
1858,182.0
1860,150.0
1861,162.0
1864,236.0
1869,187.0
1871,69.0
1872,3.0
1875,11.0
1878,246.0
1879,224.0
1885,94.0
1888,64.0
1889,14.0
1890,150.0
1896,102.0
1897,108.0
1898,151.0
1900,69.0
1905,34.0
1908,236.0
1909,119.0
1913,98.0
1918,117.0
1922,127.0
1923,132.0
1925,305.0
1926,102.0
1927,331.0
1930,171.0
1935,26.0
1939,64.0
1942,132.0
1943,46.0
1948,304.0
1949,183.0
1951,132.0
1953,112.0
1959,132.0
1963,27.0
1967,102.0
1973,186.0
1975,29.0
1976,90.0
1990,165.0
1993,112.0
1997,236.0
1999,132.0
2001,274.0
2004,39.0
2010,97.0
2013,91.0
2017,369.0
2021,236.0
2023,236.0
2026,123.0
2037,14.0
2039,37.0
2041,14.0
2046,37.0
2050,30.0
2060,305.0
2067,151.0
2069,318.0
2072,186.0
2074,218.0
2079,302.0
2083,46.0
2085,132.0
2087,31.0
2093,161.0
2094,35.0
2097,14.0
2103,105.0
2104,39.0
2107,129.0
2108,14.0
2110,93.0
2115,304.0
2117,103.0
2125,331.0
2127,127.0
2133,13.0
2134,215.0
2135,132.0
2141,127.0
2143,43.0
2145,30.0
2146,35.0
2147,297.0
2148,39.0
2149,98.0
2165,132.0
2166,186.0
2177,119.0
